,Site,Date,Hour,Direction,Volume
322,9,2016-03-04,18,NORTHBOUND,1530
323,9,2016-03-04,18,SOUTHBOUND,1640
324,9,2016-03-04,19,NORTHBOUND,1450
325,9,2016-03-04,19,SOUTHBOUND,1641
326,9,2016-03-04,20,NORTHBOUND,1266
327,9,2016-03-04,20,SOUTHBOUND,1326
328,9,2016-03-04,21,NORTHBOUND,762
329,9,2016-03-04,21,SOUTHBOUND,996
330,9,2016-03-04,22,NORTHBOUND,518
331,9,2016-03-04,22,SOUTHBOUND,823
332,9,2016-03-04,23,NORTHBOUND,449
333,9,2016-03-04,23,SOUTHBOUND,742
334,9,2016-03-04,24,NORTHBOUND,365
335,9,2016-03-04,24,SOUTHBOUND,680
336,9,2016-03-05,1,NORTHBOUND,299
337,9,2016-03-05,1,SOUTHBOUND,490
338,9,2016-03-05,2,NORTHBOUND,241
339,9,2016-03-05,2,SOUTHBOUND,289
340,9,2016-03-05,3,NORTHBOUND,164
341,9,2016-03-05,3,SOUTHBOUND,200
342,9,2016-03-05,4,NORTHBOUND,142
343,9,2016-03-05,4,SOUTHBOUND,171
344,9,2016-03-05,5,NORTHBOUND,137
345,9,2016-03-05,5,SOUTHBOUND,155
346,9,2016-03-05,6,NORTHBOUND,196
347,9,2016-03-05,6,SOUTHBOUND,133
348,9,2016-03-05,7,NORTHBOUND,508
349,9,2016-03-05,7,SOUTHBOUND,295
350,9,2016-03-05,8,NORTHBOUND,877
351,9,2016-03-05,8,SOUTHBOUND,540
352,9,2016-03-05,9,NORTHBOUND,1260
353,9,2016-03-05,9,SOUTHBOUND,857
354,9,2016-03-05,10,NORTHBOUND,1526
355,9,2016-03-05,10,SOUTHBOUND,1083
356,9,2016-03-05,11,NORTHBOUND,1508
357,9,2016-03-05,11,SOUTHBOUND,1180
358,9,2016-03-05,12,NORTHBOUND,1657
359,9,2016-03-05,12,SOUTHBOUND,1215
360,9,2016-03-05,13,NORTHBOUND,1698
361,9,2016-03-05,13,SOUTHBOUND,1319
362,9,2016-03-05,14,NORTHBOUND,1736
363,9,2016-03-05,14,SOUTHBOUND,1296
364,9,2016-03-05,15,NORTHBOUND,1628
365,9,2016-03-05,15,SOUTHBOUND,1256
366,9,2016-03-05,16,NORTHBOUND,1309
